album,title,videoUrl,chant
싱글 3집,Sweat,,이 곡의 응원법을 이곳에 입력해 주세요.
싱글 2집,Who is she,https://youtu.be/Uoddc-dUYKY?si=u07XNWIMn78MI5ce,"I feel it, silence gettin' deeper
숨이 멎는 순간 (<mark>Who is she? 키오프!</mark>)

터질 듯해 I know
I'm gonna be the girl in the fire (<mark>fire!</mark>)
(We don't think twice)
<mark>(길게 함성) I guess you'll never know</mark>

잿빛 속에 피어나는 miracle
가빠지는 심장 소린 magical
끝도 없이 빠져들어 <mark>3 2 1</mark>
<mark>Who is she?</mark>

When I walk onto the stage
Yeah I <mark>got this</mark>
짙게 타오르는 숨
벅찬 <mark>heartbeat</mark>

Come around
Baby you can come and see me Making everybody go,
<mark>Who is she?</mark>

When I step onto the stage
Yeah I <mark>got this</mark>
숨이 멎을듯한 mood
벅찬 <mark>heartbeat</mark>

Feel the fire
Baby you can come and see me Making everybody go,
<mark>Who is she?</mark>

<mark>(키오프!)</mark>
I can be hot
I can be cold
Born to be X
Nobody knows
상상은 trigger
Gotta just breathe in
I'm the whole damn show yeah

Who's the one that takes the reset
다들 ""쉿!"" 시작되는 burn
집중해 더 타올라
Watch me now, now
<mark>(길게 함성) I guess you'll never know</mark>

부서지고 피어나는 miracle
내 안에서 눈을 뜨는 magical
끝도 없이 빠져들어 <mark>3 2 1</mark>
<mark>Who is she?</mark>

When I walk onto the stage
Yeah I <mark>got this</mark>
짙게 타오르는 숨
벅찬 <mark>heartbeat</mark>

Come around
Baby you can come and see me Making everybody go,
<mark>Who is she?</mark>

<mark>(키오프! Who is she?)</mark>
<mark>(키오프! Who is she?)</mark>
<mark>(키오프! Who is she?)</mark>
<mark>(키오프! Who is she?)</mark>

When I move onto the stage
Yeah I <mark>got this</mark>
짙게 타오르는 숨
벅찬 <mark>heartbeat</mark>

Feel the vibe
Baby 느낀 대로 breathing
Making everybody go,
<mark>Who is she?</mark>

When I move onto the stage
Yeah I <mark>got this</mark>
숨이 멎을듯한 mood
벅찬 <mark>heartbeat</mark>

Feel the vibe
Baby 느낀 대로 breathing
Making everybody go,
<mark>Who is she!</mark>
<mark>(키!스!오!브!라!이!프!)</mark>"
디지털 싱글 Lucky,Lucky,https://youtu.be/XhZ40pXHBBw?si=A5Oq5OW7LHmndGjZ,"(KISS.OF.LIFE)
(Mission Start!)

Haha <mark>hello, hello</mark>, nice to meet ya
<mark>I know, you know</mark>, I'm a keeper
<mark>One two</mark> look 달라지는 Mood
<mark>Three four</mark>, oops 운에 맡겨 툭
너와 나 사이 끌림 그대로 와
Neck gon' break when you see me turn' round
Time to read focus 옳지 <mark>Wow</mark>
Baby, <mark>I love ya, I need ya, I want ya</mark>

다 정해진 Game, 혹은 긴 maze
There's no escape
그래 <mark>yeah yeah yeah</mark>
Is it <mark>yeah, yeah, yes?</mark>

You don't know how <mark>lucky (lucky)</mark> you are
Sweeter taste than <mark>honey (honey)</mark> we are 깊게, 빠져들고 있어 <mark>Love like this</mark>
둘만의 Kiss
See how <mark>lucky (lucky)</mark> you are You are

떠 있는 red, green light 어때, 넌 혹시 와 느낌이?
확신이 필요해 한 발 더 다가서 You'll feel it

긴 숨을 참는 순간
Saying you're a good believer
이 흐름에 맡겨봐 알게 될 거야 no doubt

다 정해진 Game, 혹은 긴 maze
There's no escape
그래 <mark>yeah yeah yeah</mark>
Is it <mark>yeah, yeah, yes?</mark>

You don't know how <mark>lucky (lucky)</mark> you are
Sweeter taste than <mark>honey (honey)</mark> we are 깊게, 빠져들고 있어 <mark>Love like this</mark>
둘만의 Kiss
See how <mark>lucky (lucky)</mark> you are You are
You are <mark>(KIOF KIOF KIOF KIOF)</mark>
You are <mark>(KIOF KIOF KIOF KIOF)</mark>
You are <mark>(KIOF KIOF KIOF KIOF)</mark>
You are <mark>(KIOF KIOF KIOF KIOF)</mark> You are

You don't know how <mark>lucky (lucky)</mark> you are
Sweeter taste than <mark>honey (honey)</mark> we are
See that 벗어날 수 없어 <mark>Love like this</mark>
다가와 Kiss
See how <mark>lucky (lucky)</mark> you are You are"
미니 4집 224,Lips Hips Kiss,https://youtu.be/OdBJKP38H2g?si=Pj-WX2ejv3DlDqFn,"(0:04 키오프!)
(키오프 Lips! Hips! Kiss!)

<mark>Code blue</mark>
아득해진 시야 속에, 날 이끄는 너의 <mark>Voice</mark>
<mark>Love flu</mark>
낫지 않는 감정들의 허리케인
You're that problem
Perfume shower Make me <mark>sweet</mark>
Dress on, powder Necklace <mark>ching</mark>
Vibes on 짙게 칠해 너와 날

서서히 닿은 눈빛
달라진 Something
이대로 <mark>Come with me</mark> You can touch my <mark>lips hips hips hips hips</mark>
I'm free at <mark>six six six six</mark> oh
감각을 따라, 널 쫓아 <mark>Hide and seek</mark>

We should <mark>dip dip dip dip dip</mark>
Just keep it on the <mark>shh shh shh shh</mark> oh
My eyes, my lips, my soul, my body
완벽해질 Night

<mark>Um alright (함성)</mark>

Love in the air 낯선 공기 위로 <mark>Chilin'</mark>
과감히 내 쪽으로 끌어 너의 <mark>Rhythm</mark>
눈이 자꾸 가는 Type
You got something, I can't <mark>lie</mark>
아주 작은 손짓에도 <mark>You can't run away</mark>
깜빡이는 조명 아래 홀린 듯이 <mark>Do the thing</mark>
맡겨봐 On my wave You can touch my <mark>lips hips hips hips hips</mark>
I'm free at <mark>six six six six</mark> oh
감각을 따라, 널 쫓아 <mark>Hide and seek</mark>

We should <mark>dip dip dip dip dip</mark>
Just keep it on the <mark>shh shh shh shh</mark> oh
My eyes, my lips, my soul, my body
완벽해질 Night

Right here, you and I
더 깊이 빠져가
흐트러지는 line
넌 모르게 남겨진 kisses into you
<mark>(함성)</mark>

Look in my eyes
Then say my name 내 모든 건 Lean on you
말해줘 you're mine

<mark>Look in my eyes (Look in my eyes)</mark>
<mark>Then say my name (Then say my name)</mark>
내 모든 걸 Lean on you
So stay by my side

You can touch my <mark>lips hips hips hips hips</mark>
I'm free at <mark>six six six six</mark> oh
시작해 나와 어둠 속, <mark>Hide and seek</mark>

We should <mark>dip dip dip dip dip</mark>
Just keep it on the <mark>shh shh shh shh</mark> oh
My eyes, my lips, my soul, my body
완벽해질 Night

<mark>Lips hips (Lips hips)</mark>
<mark>Lips kiss (Lips kiss)</mark>
<mark>Shh shh shh (Shh shh shh)</mark>
<mark>Shh</mark>"
미니 4집 224,Tell Me,,"(8박자 쉬고)
(쥴리 나띠 벨 하늘 키스오브라이프)

Just tell me now 아득한 Breathing
I can't see you now 낯선 이 느낌
Like I'm underground
리듬을 잃어버린 것 같아
But I'm falling for more Cuz I'm <mark>hooked, hooked, holding on, yeah</mark>
깊이 퍼져 더 That's a <mark>no no</mark>
Lo- lo- losing control

매료돼 버린 Ma <mark>breathing</mark>
입술은 <mark>Mean it</mark>
온몸이 깨어나 Baby, show me something true

<mark>Tell me</mark> where the real ones at,
<mark>Cuz I'm in</mark>, 돌이킬 수 없이
<mark>I don't (really know)</mark>
<mark>심장 소리로 내게 말해줘</mark>
But I need something real, so just

<mark>Tell me</mark> where the real ones at,
<mark>Cuz I'm in</mark>, 걷잡을 수 없이
I don't know
거부할 수 없어 More and more (Through the highs and lows)
So just let me risk it all

<mark>Old texts, missed calls</mark> 이젠 Let me out
<mark>Cycle 벗어나</mark> Out of fake smiles, yeah
They call it <mark>danger</mark> (caught up in it)
지켜봐 <mark>Stranger</mark>, yeah

Cuz I'm <mark>hooked, hooked, holding on, yeah</mark>
깊이 퍼져 더 That's a <mark>no no</mark>
Lo- lo- losing control

매료돼 버린 Ma <mark>breathing</mark>
입술은 <mark>Mean it</mark>
경험한 적 없는 감각에 난 이끌려

<mark>Tell me</mark> where the real ones at,
<mark>Cuz I'm in</mark>, 돌이킬 수 없이
<mark>I don't (really know)</mark>
<mark>심장 소리로 내게 말해줘</mark>
But I need something real so just

<mark>(함성)</mark>
<mark>(Tell me)</mark>
<mark>(Oh ha)</mark>
<mark>(2,3,4) 키오프 키오프 키오프</mark>
<mark>키오프 키오프 키오프</mark>

Can you just tell me now
Baby just tell me now

So why won't you just <mark>(함성)</mark>
<mark>Tell me</mark> where the real ones at,
<mark>Cuz I'm in</mark>, 돌이킬 수 없이
<mark>I don't (really know)</mark>
<mark>심장 소리로 내게 말해줘</mark>
But I need something real so just

<mark>Tell me</mark> where the real ones at,
<mark>Cuz I'm in</mark>, 걷잡을 수 없이
I don't know
거부할 수 없어 more and more (Through the highs and lows)
So just let me risk it all

<mark>(함성)</mark>"
미니 3집 Lose Yourself,Get Loud,https://youtu.be/U-q8kjGEabA?si=FO3nJIQWt8YVieuy,"That's it
Now the place is on fire
This is the end
I'd want myself and I can be my muse
<mark>(겟. 라. 우. 드)</mark>

Ain't I dreaming?
제멋대로 가는 손짓
Don't feel guilty
매 순간이 새로운 걸 Like Havana

Ohhhh
Feel the rhythm go <mark>cha cha (박수)</mark>
Get ready to turn it on Move me like my favorite song like

Superwoman I wanna feel
Right, 그려봐 다음 Stage <mark>(벨!)</mark>
느낌을 따라 난 움직여
Oh 현실과는 다른 Space yeah

Ohhhh
Feel the rhythm go <mark>cha cha (박수)</mark>
Get ready to turn it on
Is it real?
Is it real? Babe

이건 마치 깨지않는 꿈
Cause I get it if I want it, woo <mark>(하늘)</mark>
현실과 꿈 사이 I don't wanna wake up now
Blow, <mark>날려 Confetti, oh</mark>

<mark>Get loud</mark>
커져가는 Bass, I'm down
Baby come and give it to me
Red top
위로 느껴지는 My vibe
Baby come and give it to me 멈출 생각은 없지
I love how we're dancing like this
Roar of the crowd, 느껴봐 넌이미
<mark>So lose yourself (함성)</mark>

Yeah oh I'll be right there
Let me show you how we move 어디든 무대
I can bring it, call it dreaming
Now you'll fidget in a minute

Shake the room, feel the vibe
Cause I like that <mark>(쥴리)</mark>

I'll inspire ya
숨 쉬는 Illusion
넌 순간 빠져
To a new sensation

이건 마치 깨지않는 꿈
Cause I get it if I want it, woo <mark>(하늘)</mark>
현실과 꿈 사이 I don't wanna wake up now
Blow, <mark>날려 Confetti, oh</mark>

<mark>Get loud</mark>
커져가는 Bass, I'm down
Baby come and give it to me
Red top
위로 느껴지는 My vibe
Baby come and give it to me 멈출 생각은 없지
I love how we're dancing like this
Roar of the crowd, 느껴봐 넌이미
<mark>So lose yourself (함성)</mark>

Dancing around in my tight dress
I'll be doing me in the crowd, looking priceless <mark>(나띠)</mark>
미친 듯 춤춰봐 Like that
If you feel the same, gotta get here ASAP

Other boys said I'm a little salty
절대 관심 없어 금방 질리고 말 Plastic
Gotta level up (hey)
Gotta get naughty (yeah)
Baby when I groove 날려줘 <mark>Confetti, yeah (함성)</mark>

<mark>Get loud</mark>
커져가는 Bass, I'm down
Baby come and give it to me
Red top
위로 느껴지는 My vibe
Baby come and give it to me 멈출 생각은 없지
I love how we're dancing like this
Roar of the crowd, 느껴봐 넌 이미
<mark>So lose yourself (함성)</mark>"
미니 3집 Lose Yourself,Igloo,,"Imma back up every word
<mark>Mini skirt (Mini skirt)</mark>, <mark>pretty pink (pretty pink)</mark>
<mark>What you heard (What you heard)</mark>
But it's never what you think
Trust

I got finger-licking venom
Little sweet, a little bitter
Looking like a seven figure on me cause I

Mmmm <mark>(ha ha)</mark>
I can melt an igloo
Yeah cause I'm so dang hot <mark>(Yeah Yeah Yeah Yeah)</mark>
I got everything you - that you're feening for

Throwing some cash on that body
Throw in some cash, make 'em put in that work
Whether it rains or it's sunny
Best believe I keep 'em running back

Glass room, perfume, Kodak on that <mark>lilac</mark>
Slipping on my short dress, know he <mark>like that</mark>

Facetime on the regular
In the night, wanna say what's up
He knows this ain't regular, got that A1 on the schedule

I got finger-licking venom
Little sweet, a little bitter
Looking like a seven figure on me cause I

Mmmm <mark>(ha ha)</mark>
I can melt an igloo
Yeah cause I'm so dang hot <mark>(Yeah Yeah Yeah Yeah)</mark>
I got everything you - that you're feening for

Heart attack -IV
When I walk the street
Vitamins that D
I'm good, I'm healthy

Every <mark>summer</mark> I come out
Make 'em disappear like clouds
To me, it's another year to you, it's all you worry 'bout
Yeah white tippy toe summer
I make him go <mark>dumb duh</mark>
He doubled down on that text, says that <mark>I'm the only one</mark>

Mmmm
I make him lose his cool
Yeah I make him go

Mmmm <mark>(ha ha)</mark>
I can melt an igloo
Yeah cause I'm so dang hot <mark>(Yeah Yeah Yeah Yeah)</mark>
I got everything you - that you're feening for"
디지털 싱글 Sticky,Sticky,https://youtu.be/Zl7POJW_b9A?si=RArexcuS9Ni_DVDa,"<mark>(쥴리 나띠 벨- 하늘 KISS OF LIFE)</mark>
How long before we fall in love (키오프)
How long before we fall in love (스티키)

Here's a ticket
Baby wanna go out?
푸른 Palm tree
우릴 부르잖아
Don't be picky
Yeah 누벼 이 Town 위를

Feel like I'm hot stuff
You're my <mark>rock star</mark>

Hear me now 바람은 Sweet and salty
Margarita같이
Here on out
이 여름 위를 Driving
Won't you navigate me

How long before we fall in love
(널 마주친 순간 I fly high)
How long before we fall in love
(Let me know let me know)
Oh 뛰어들어 둘만의 <mark>Ocean dive</mark>
왠지 묘한 이 느낌 녹아내려
<mark>Sticky sticky sticky sticky</mark>

Love got so poppin' flavor
예상 못 한 New taste
나른해 <mark>Summer fever</mark> 내리질 않네
So hear me now 달콤한 맘이 Drippin'
Like gelato melting
Here on out
심장에 남긴 Darlin'
Won't you navigate me

How long before we fall in love
(널 마주친 순간 I fly high)
How long before we fall in love
(Let me know let me know)
Oh 뛰어들어 둘만의 <mark>Ocean dive</mark>
왠지 묘한 이 느낌 녹아내려
<mark>Sticky sticky sticky sticky</mark>

오늘 같은 날이 더 없대도
I wanna keep on staying
Know you'd make me fly away
오렌지빛 물든 저 노을에 <mark>Kiss it (함성)</mark>
So say yeah

<mark>Sticky sticky sticky sticky</mark>
And you're the one who's <mark>with it</mark>
<mark>With it with it with me</mark>

Yeah 느려져도 돼 Like slomo motion
I'd take you to the new world so boy
발 닿는 대로 가 There's no way
그리곤 내게로 와 Follow my lead
<mark>Let's get it yeah</mark>

How long before we fall in love
(저 나비처럼 난 Go round round)
How long before we fall in love
(Let me know let me know)
I like it 눈부신 여름빛
지금 우린

<mark>Sticky sticky sticky sticky (함성)</mark>"
디지털 싱글 Te Quiero,Te Quiero,,"I guess the time has come <mark>We have to go (함성)</mark>

<mark>Let's go somewhere</mark>
In one second, I can take you to where you want it
I know that you like it
<mark>If you want it</mark>
I got passion to devote to what you're liking
You like it, you wanna see me fallin'

You're killing me softly
I don't wanna lose you
My love has always been true
I won't deny that my fear of the night when you leave me
I know that you feel it too

Oooo, won't you give me your light
(Give me that give me that give me that eh)
<mark>I'll give you all that you like,</mark>
Boy

You got me so in love
I've never been this possessive
I don't know how to quit
<mark>Boy te quiero</mark>
So call me yours (Come boy)
I don't need no permission so (Come say it)
I don't know how to quit
<mark>Boy te quiero</mark>

Give me one more day and night
I don't wanna stop it
Baby won't you stay the night

Never hold back
Imma get so high when you hold me tight
Imma be the one, we make it in this twilight
We runnin' outta time
Last dance, I want it, want it, want it
(I want it now)

You're killing me softly
I don't wanna lose you
My love has always been true
I won't deny that my fear of the night when you leave me
I know that you feel it too

Oooo, won't you give me your light
(Give me that give me that give me that eh)
<mark>I'll give you all that you like,</mark>
Boy

You got me so in love
I've never been this possessive
I don't know how to quit
<mark>Boy te quiero</mark>
So call me yours (Come boy)
I don't need no permission so (Come say it)
I don't know how to quit
<mark>Boy te quiero</mark>

<mark>You want it</mark>
<mark>Come get it</mark>
I'm so in love
<mark>All day</mark>
<mark>All night</mark>
Te quiero

Come boy make it hot
Come drop it low gimme all you got got got
I need somebody
I need somebody like you

So in love
I've never been this possessive
I don't know how to quit
<mark>Boy te quiero</mark>
So call me yours
I don't need no permission so
I don't know how to quit
<mark>Boy te quiero</mark>

So in love
I've never been this possessive
I don't know how to quit
<mark>Boy te quiero</mark>
So call me yours
I don't need no permission so
I don't know how to quit
<mark>Boy te quiero</mark>

Go be my baby (I know you want it)
Go be my baby na na na (Come on tell me)
Go be my baby
<mark>Let me know (함성)</mark>"
싱글 1집 Midas Touch,Midas Touch,https://youtu.be/MyN_tXPJfI0?si=r5g43CTYUGp74K7j,"<mark>(8박자 쉬고) 쥴리 나띠 벨- 하늘 키스오브라이프</mark>
Baby, count 10 That's all I need
단숨에 빠져들어
<mark>(Can't go back, can't go back)</mark>

Tick-tack, ain't got no time
턱 끝을 겨누는 Love
<mark>(Eat your love, eat your love)</mark>

Hey baby, I've been watching
널 풀어헤친 달콤한 이 <mark>Danger (Danger)</mark>
<mark>(Baby, I've been watching, boy)</mark>

Hey baby, I'm so toxic
위험할수록 재밌잖아 It's <mark>alright (Alright)</mark>
<mark>(Baby, I've been watching, boy)</mark>

온몸이 원해 넌 나뿐인
아찔한 Lovesick 밤새 날 앓게 돼
I warned you with a single touch, boy
도망쳐봐 어차피 날 벗어날 수 없어

When I <mark>touch ya, kiss ya</mark>
You're gon realize
(Baby, don't you think too much)

Boy, if I <mark>touch ya, kiss ya</mark>
<mark>Watch out</mark> 순간 변해버린 눈빛
You see, I got that <mark>Midas touch (함성)</mark>

I really wanna stay all day with you
You know what we'll be going through?
찾아봐 떨리는 이유
몸부림칠수록 Gettin' <mark>deeper</mark>
손짓 한 번으로 Makin' you weaker <mark>and weaker</mark>

Hey baby, I'm so toxic
위험할수록 재밌잖아 It's <mark>alright (Alright)</mark>
<mark>(You will end up in my hands my love)</mark>

온몸이 원해 넌 나뿐인
아찔한 Lovesick 밤새 날 앓게 돼
I warned you with a single touch, boy
도망쳐봐 어차피 날 벗어날 수 없어

When I <mark>touch ya, kiss ya</mark>
You're gon realize
(Baby, don't you think too much)

<mark>(Brace! Brace!)</mark>
Ain't gotta sugarcoat me 생각과는 다를 걸
<mark>(Brace! Brace!)</mark>
My love's a game, I play with it 너도 원한다면
<mark>(Brace! Brace!)</mark>
Looking like a kitty cat but 아무도 감당 못 해
Once the countdown's done You're never gonna move, yeah

When I <mark>touch ya, kiss ya</mark>
You're gon realize
(Baby, don't you think too much)

내게 빠져드는 손짓
You see, I got that <mark>Midas touch (함성)</mark>"
